,DATE,DailyAverageDryBulbTemperature,year
3866,2015-08-03,98.0,2015
3867,2015-08-04,99.0,2015
3868,2015-08-05,102.0,2015
3869,2015-08-06,103.0,2015
3870,2015-08-07,103.0,2015
3871,2015-08-08,102.0,2015
3872,2015-08-09,105.0,2015
3873,2015-08-10,105.0,2015
3874,2015-08-11,101.0,2015
3875,2015-08-12,98.0,2015
3876,2015-08-13,96.0,2015
3877,2015-08-14,95.0,2015
3878,2015-08-15,94.0,2015
3879,2015-08-16,97.0,2015
3880,2015-08-17,97.0,2015
3881,2015-08-18,99.0,2015
3882,2015-08-19,92.0,2015
3883,2015-08-20,75.0,2015
3884,2015-08-21,92.0,2015
3885,2015-08-22,97.0,2015
3886,2015-08-23,99.0,2015
3887,2015-08-24,98.0,2015
3888,2015-08-25,93.0,2015
3889,2015-08-26,94.0,2015
3890,2015-08-27,97.0,2015
3891,2015-08-28,96.0,2015
3892,2015-08-29,99.0,2015
3893,2015-08-30,96.0,2015
3894,2015-08-31,95.0,2015
3895,2015-09-01,95.0,2015
3896,2015-09-02,94.0,2015
3897,2015-09-03,95.0,2015
3898,2015-09-04,94.0,2015
3899,2015-09-05,95.0,2015
3900,2015-09-06,99.0,2015
3901,2015-09-07,100.0,2015
3902,2015-09-08,99.0,2015
3903,2015-09-09,88.0,2015
3904,2015-09-10,91.0,2015
3905,2015-09-11,91.0,2015
3906,2015-09-12,84.0,2015
3907,2015-09-13,90.0,2015
3908,2015-09-14,89.0,2015
3909,2015-09-15,88.0,2015
3910,2015-09-16,92.0,2015
3911,2015-09-17,93.0,2015
3912,2015-09-18,96.0,2015
3913,2015-09-19,86.0,2015
3914,2015-09-20,89.0,2015
3915,2015-09-21,92.0,2015
3916,2015-09-22,93.0,2015
3917,2015-09-23,91.0,2015
3918,2015-09-24,91.0,2015
3919,2015-09-25,90.0,2015
3920,2015-09-26,88.0,2015
3921,2015-09-27,88.0,2015
3922,2015-09-28,88.0,2015
3923,2015-09-29,89.0,2015
3924,2015-09-30,89.0,2015
3925,2015-10-01,80.0,2015
3926,2015-10-02,79.0,2015
3927,2015-10-03,77.0,2015
3928,2015-10-04,78.0,2015
3929,2015-10-05,79.0,2015
3930,2015-10-06,83.0,2015
3931,2015-10-07,86.0,2015
3932,2015-10-08,89.0,2015
3933,2015-10-09,88.0,2015
3934,2015-10-10,82.0,2015
3935,2015-10-11,95.0,2015
3936,2015-10-12,93.0,2015
3937,2015-10-13,89.0,2015
3938,2015-10-14,96.0,2015
3939,2015-10-15,95.0,2015
3940,2015-10-16,82.0,2015
3941,2015-10-17,76.0,2015
3942,2015-10-18,78.0,2015
3943,2015-10-19,82.0,2015
3944,2015-10-20,83.0,2015
3945,2015-10-21,82.0,2015
3946,2015-10-22,75.0,2015
3947,2015-10-23,75.0,2015
3948,2015-10-24,67.0,2015
3949,2015-10-25,64.0,2015
3950,2015-10-26,75.0,2015
3951,2015-10-27,79.0,2015
3952,2015-10-28,74.0,2015
3953,2015-10-29,76.0,2015
3954,2015-10-30,68.0,2015
3955,2015-10-31,65.0,2015
3956,2015-11-01,68.0,2015
3957,2015-11-02,75.0,2015
3958,2015-11-03,74.0,2015
3959,2015-11-04,72.0,2015
3960,2015-11-05,81.0,2015
3961,2015-11-06,68.0,2015
3962,2015-11-07,65.0,2015
3963,2015-11-08,65.0,2015
3964,2015-11-09,66.0,2015
3965,2015-11-10,77.0,2015
3966,2015-11-11,82.0,2015
3967,2015-11-12,66.0,2015
3968,2015-11-13,66.0,2015
3969,2015-11-14,63.0,2015
3970,2015-11-15,61.0,2015
3971,2015-11-16,74.0,2015
3972,2015-11-17,74.0,2015
3973,2015-11-18,70.0,2015
3974,2015-11-19,67.0,2015
3975,2015-11-20,73.0,2015
3976,2015-11-21,59.0,2015
3977,2015-11-22,57.0,2015
3978,2015-11-23,63.0,2015
3979,2015-11-24,63.0,2015
3980,2015-11-25,73.0,2015
3981,2015-11-26,70.0,2015
3982,2015-11-27,68.0,2015
3983,2015-11-28,40.0,2015
3984,2015-11-29,42.0,2015
3985,2015-11-30,49.0,2015
3986,2015-12-01,51.0,2015
3987,2015-12-02,57.0,2015
3988,2015-12-03,62.0,2015
3989,2015-12-04,61.0,2015
3990,2015-12-05,60.0,2015
3991,2015-12-06,62.0,2015
3992,2015-12-07,68.0,2015
3993,2015-12-08,74.0,2015
3994,2015-12-09,72.0,2015
3995,2015-12-10,75.0,2015
3996,2015-12-11,77.0,2015
3997,2015-12-12,73.0,2015
3998,2015-12-13,74.0,2015
3999,2015-12-14,70.0,2015
4000,2015-12-15,70.0,2015
4001,2015-12-16,60.0,2015
4002,2015-12-17,59.0,2015
4003,2015-12-18,52.0,2015
4004,2015-12-19,61.0,2015
4005,2015-12-20,63.0,2015
4006,2015-12-21,72.0,2015
4007,2015-12-22,74.0,2015
4008,2015-12-23,73.0,2015
4009,2015-12-24,73.0,2015
4010,2015-12-25,72.0,2015
4011,2015-12-26,79.0,2015
4012,2015-12-27,48.0,2015
4013,2015-12-28,38.0,2015
4014,2015-12-29,45.0,2015
4015,2015-12-30,51.0,2015
4016,2015-12-31,50.0,2015
4017,2016-01-01,46.0,2016
4018,2016-01-02,49.0,2016
4019,2016-01-03,57.0,2016
4020,2016-01-04,51.0,2016
4021,2016-01-05,45.0,2016
4022,2016-01-06,48.0,2016
4023,2016-01-07,68.0,2016
4024,2016-01-08,60.0,2016
4025,2016-01-09,45.0,2016
4026,2016-01-10,40.0,2016
4027,2016-01-11,50.0,2016
4028,2016-01-12,63.0,2016
4029,2016-01-13,66.0,2016
4030,2016-01-14,67.0,2016
4031,2016-01-15,62.0,2016
4032,2016-01-16,48.0,2016
4033,2016-01-17,54.0,2016
4034,2016-01-18,45.0,2016
4035,2016-01-19,67.0,2016
4036,2016-01-20,49.0,2016
4037,2016-01-21,51.0,2016
4038,2016-01-22,46.0,2016
4039,2016-01-23,49.0,2016
4040,2016-01-24,62.0,2016
4041,2016-01-25,64.0,2016
